,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,popularity_scores,genre
39,0.584,0.492,3,-9.101,1,0.0354,0.807,1.8e-05,0.108,0.222,127.389,audio_features,1CsOX0ttWFyM9FZJiHlYXD,spotify:track:1CsOX0ttWFyM9FZJiHlYXD,https://api.spotify.com/v1/tracks/1CsOX0ttWFyM9FZJiHlYXD,https://api.spotify.com/v1/audio-analysis/1CsOX0ttWFyM9FZJiHlYXD,163293,1,Crossed Out Name,20,alternative country
40,0.399,0.675,7,-6.908,1,0.0299,0.434,0.183,0.345,0.489,139.568,audio_features,2uwhJc2QACQGfQkmf3TlgH,spotify:track:2uwhJc2QACQGfQkmf3TlgH,https://api.spotify.com/v1/tracks/2uwhJc2QACQGfQkmf3TlgH,https://api.spotify.com/v1/audio-analysis/2uwhJc2QACQGfQkmf3TlgH,217120,4,Natural Ghost,14,alternative country
41,0.321,0.626,10,-5.875,1,0.031,0.189,7.27e-05,0.117,0.427,170.433,audio_features,1IHR3K8SbvYAMCb6INcu7F,spotify:track:1IHR3K8SbvYAMCb6INcu7F,https://api.spotify.com/v1/tracks/1IHR3K8SbvYAMCb6INcu7F,https://api.spotify.com/v1/audio-analysis/1IHR3K8SbvYAMCb6INcu7F,220813,4,Sink Ships,13,alternative country
42,0.566,0.489,2,-9.36,1,0.0386,0.777,0.169,0.115,0.456,107.599,audio_features,06e3wuyyg281icFxlwo4mz,spotify:track:06e3wuyyg281icFxlwo4mz,https://api.spotify.com/v1/tracks/06e3wuyyg281icFxlwo4mz,https://api.spotify.com/v1/audio-analysis/06e3wuyyg281icFxlwo4mz,213680,4,Evergreen,15,alternative country
43,0.323,0.541,4,-7.627,1,0.0298,0.347,0.2,0.132,0.473,152.912,audio_features,3qZTzZVNNNK2omwgJGoNLr,spotify:track:3qZTzZVNNNK2omwgJGoNLr,https://api.spotify.com/v1/tracks/3qZTzZVNNNK2omwgJGoNLr,https://api.spotify.com/v1/audio-analysis/3qZTzZVNNNK2omwgJGoNLr,149813,4,Like Yesterday,13,alternative country
44,0.341,0.167,11,-12.132,1,0.0395,0.943,0.0156,0.104,0.112,79.131,audio_features,35hP86rnb6xYVw2onOipRM,spotify:track:35hP86rnb6xYVw2onOipRM,https://api.spotify.com/v1/tracks/35hP86rnb6xYVw2onOipRM,https://api.spotify.com/v1/audio-analysis/35hP86rnb6xYVw2onOipRM,334027,3,Stop,12,alternative country
45,0.575,0.355,0,-9.921,1,0.0288,0.242,7.91e-05,0.154,0.511,126.032,audio_features,4AhmZf5S4cLJaQrBbpGkgy,spotify:track:4AhmZf5S4cLJaQrBbpGkgy,https://api.spotify.com/v1/tracks/4AhmZf5S4cLJaQrBbpGkgy,https://api.spotify.com/v1/audio-analysis/4AhmZf5S4cLJaQrBbpGkgy,184360,4,The Ballad Of Carol Lynn,0,alternative country
46,0.669,0.57,0,-9.932,1,0.0275,0.261,0.000308,0.138,0.633,119.161,audio_features,5OQ4BI3NMXApOwkvqN1TmE,spotify:track:5OQ4BI3NMXApOwkvqN1TmE,https://api.spotify.com/v1/tracks/5OQ4BI3NMXApOwkvqN1TmE,https://api.spotify.com/v1/audio-analysis/5OQ4BI3NMXApOwkvqN1TmE,239373,4,Don't Wanna Know Why,0,alternative country
47,0.587,0.219,11,-13.709,1,0.0423,0.607,1.54e-05,0.105,0.331,142.586,audio_features,7m4KbhRBRnnBryiODCUbPg,spotify:track:7m4KbhRBRnnBryiODCUbPg,https://api.spotify.com/v1/tracks/7m4KbhRBRnnBryiODCUbPg,https://api.spotify.com/v1/audio-analysis/7m4KbhRBRnnBryiODCUbPg,180960,3,Jacksonville Skyline,0,alternative country
48,0.438,0.272,0,-13.797,1,0.0342,0.446,0.049,0.102,0.196,116.363,audio_features,4crEnbaVRK6ur90sWQ1llw,spotify:track:4crEnbaVRK6ur90sWQ1llw,https://api.spotify.com/v1/tracks/4crEnbaVRK6ur90sWQ1llw,https://api.spotify.com/v1/audio-analysis/4crEnbaVRK6ur90sWQ1llw,209667,4,Reasons To Lie,0,alternative country
